,ISO,Country,LastDecade,lastYear
0,AFG,Afghanistan,60,7
1,AGO,Angola,24,3
2,AIA,Anguilla,1,0
3,ALB,Albania,11,0
4,ANT,Netherlands Antilles,0,0
5,ARE,United Arab Emirates ,1,0
6,ARG,Argentina,32,2
7,ARM,Armenia,6,1
8,ATG,Antigua and Barbuda,1,0
9,AUT,Austria,7,0
10,AZE,Azerbaijan,3,0
11,AZO,Azores Islands,0,0
12,BDI,Burundi,17,3
13,BEL,Belgium,16,2
14,BEN,Benin,8,1
15,BFA,Burkina Faso,12,4
16,BGD,Bangladesh,47,2
17,BGR,Bulgaria,11,0
18,BHR,Bahrain,0,0
19,BHS,Bahamas ,7,0
20,BIH,Bosnia and Herzegovina,9,1
21,BLM,Saint Barthélemy,1,0
22,BLR,Belarus,5,0
23,BLZ,Belize,3,1
24,BMU,Bermuda,0,0
25,BOL,Bolivia ,25,2
26,BRA,Brazil,51,7
27,BRB,Barbados,1,0
28,BRN,Brunei Darussalam,0,0
29,BTN,Bhutan,1,0
30,BWA,Botswana,6,0
31,CAF,Central African Republic,15,0
32,CAN,Canada,26,2
33,CHE,Switzerland,10,1
34,CHL,Chile,28,0
35,CHN,China,282,12
36,CIV,Côte d’Ivoire,9,1
37,CMR,Cameroon,14,1
38,COD,Congo ,39,7
39,COG,Congo ,14,2
40,COL,Colombia,45,6
41,COM,Comoros ,5,0
42,CPV,Cabo Verde,3,0
43,CRI,Costa Rica,13,1
44,CSK,Czechoslovakia,0,0
45,CUB,Cuba,13,2
46,CYM,Cayman Islands ,0,0
47,CYP,Cyprus,0,0
48,CZE,Czech Republic ,6,1
49,DDR,Germany Dem Rep,0,0
50,DEU,Germany,19,1
51,DFR,Germany Fed Rep,0,0
52,DJI,Djibouti,4,1
53,DMA,Dominica,3,0
54,DNK,Denmark,2,0
55,DOM,Dominican Republic ,25,2
56,DZA,Algeria,10,1
57,ECU,Ecuador,23,2
58,EGY,Egypt,5,1
59,ERI,Eritrea,1,0
60,ESP,Spain,25,1
61,EST,Estonia,2,0
62,ETH,Ethiopia,22,4
63,FIN,Finland,0,0
64,FRA,France,44,7
65,GAB,Gabon,1,0
66,GBR,United Kingdom of Great Britain and Northern Ireland ,23,3
67,GEO,Georgia,11,1
68,GHA,Ghana,19,2
69,GIN,Guinea,10,1
70,GLP,Guadeloupe,1,0
71,GMB,Gambia ,6,0
72,GNB,Guinea-Bissau,1,0
73,GNQ,Equatorial Guinea,0,0
74,GRC,Greece,17,3
75,GRD,Grenada,0,0
76,GTM,Guatemala,42,5
77,GUF,French Guiana,1,1
78,GUY,Guyana,2,0
79,HKG,Hong Kong,3,0
80,HND,Honduras,20,4
81,HRV,Croatia,12,2
82,HTI,Haiti,36,1
83,HUN,Hungary,9,0
84,IDN,Indonesia,153,29
85,IMN,Isle of Man,1,1
86,IND,India,155,11
87,IRL,Ireland,6,1
88,IRN,Iran ,39,9
89,IRQ,Iraq,9,1
90,ISL,Iceland,0,0
91,ISR,Israel,6,2
92,ITA,Italy,46,7
93,JAM,Jamaica,4,0
94,JOR,Jordan,2,0
95,JPN,Japan,82,4
96,KAZ,Kazakhstan,8,1
97,KEN,Kenya,30,1
98,KGZ,Kyrgyzstan,7,0
99,KHM,Cambodia,11,2
100,KNA,Saint Kitts and Nevis,1,0
101,KOR,Korea ,24,5
102,KWT,Kuwait,1,0
103,LAO,Lao People's Democratic Republic ,17,2
104,LBN,Lebanon,6,1
105,LBR,Liberia,2,0
106,LBY,Libya,2,0
107,LCA,Saint Lucia,3,1
108,LKA,Sri Lanka,39,3
109,LSO,Lesotho,7,1
110,LTU,Lithuania,4,0
111,LUX,Luxembourg,1,0
112,LVA,Latvia,2,0
113,MAC,Macao,2,0
114,MAF,Saint Martin ,1,0
115,MAR,Morocco,11,0
116,MDA,Moldova ,3,0
117,MDG,Madagascar,25,3
118,MDV,Maldives,2,0
119,MEX,Mexico,64,8
120,MKD,Macedonia ,8,0
121,MLI,Mali,12,1
122,MMR,Myanmar,33,2
123,MNE,Montenegro,2,0
124,MNG,Mongolia,13,4
125,MOZ,Mozambique,30,3
126,MRT,Mauritania,9,3
127,MSR,Montserrat,0,0
128,MTQ,Martinique,2,0
129,MUS,Mauritius,2,0
130,MWI,Malawi,22,1
131,MYS,Malaysia,26,5
132,NAM,Namibia,9,1
133,NER,Niger ,31,3
134,NGA,Nigeria,37,5
135,NIC,Nicaragua,16,2
136,NLD,Netherlands ,9,1
137,NOR,Norway,3,1
138,NPL,Nepal,33,1
139,OMN,Oman,8,1
140,PAK,Pakistan,61,7
141,PAN,Panama,14,3
142,PER,Peru,43,4
143,PHL,Philippines ,165,9
144,POL,Poland,18,2
145,PRI,Puerto Rico,11,3
146,PRK,Korea ,19,1
147,PRT,Portugal,13,0
148,PRY,Paraguay,21,1
149,PSE,"Palestine, State of",6,1
150,QAT,Qatar,1,0
151,REU,Réunion,2,0
152,ROU,Romania,14,1
153,RUS,Russian Federation ,29,0
154,RWA,Rwanda,18,5
155,SAU,Saudi Arabia,14,1
156,SCG,Serbia Montenegro,0,0
157,SDN,Sudan ,21,1
158,SEN,Senegal,10,1
159,SGP,Singapore,1,0
160,SHN,"Saint Helena, Ascension and Tristan da Cunha",0,0
161,SLE,Sierra Leone,8,0
162,SLV,El Salvador,16,4
163,SOM,Somalia,26,3
164,SPI,Canary Is,0,0
165,SRB,Serbia,16,1
166,SSD,South Sudan,17,1
167,STP,Sao Tome and Principe,0,0
168,SUN,Soviet Union,0,0
169,SUR,Suriname,0,0
170,SVK,Slovakia,5,1
171,SVN,Slovenia,4,1
172,SWE,Sweden,3,1
173,SWZ,Swaziland,3,0
174,SXM,Sint Maarten ,1,0
175,SYC,Seychelles,3,0
176,SYR,Syrian Arab Republic,4,1
177,TCA,Turks and Caicos Islands ,1,0
178,TCD,Chad,13,2
179,TGO,Togo,4,1
180,THA,Thailand,41,7
181,TJK,Tajikistan,20,1
182,TKM,Turkmenistan,0,0
183,TLS,Timor-Leste,4,1
184,TTO,Trinidad and Tobago,1,0
185,TUN,Tunisia,4,1
186,TUR,Turkey,26,10
187,TWN,Taiwan ,24,1
188,TZA,"Tanzania, United Republic of",28,4
189,UGA,Uganda,33,6
190,UKR,Ukraine,11,3
191,URY,Uruguay,11,2
192,USA,United States of America ,240,23
193,UZB,Uzbekistan,2,1
194,VCT,Saint Vincent and the Grenadines,5,1
195,VEN,Venezuela ,10,1
196,VGB,Virgin Island ,2,0
197,VIR,Virgin Island ,2,0
198,VNM,Viet Nam,71,11
199,YEM,Yemen,22,5
200,YMD,Yemen P Dem Rep,0,0
201,YMN,Yemen Arab Rep,0,0
202,YUG,Yugoslavia,0,0
203,ZAF,South Africa,25,2
204,ZMB,Zambia,10,3
205,ZWE,Zimbabwe,14,0
